,video_name,MOS
0,Test01_City_D01,67.29
1,Test01_City_D02,24.86
2,Test01_City_D03,17.96
3,Test01_City_D04,30.23
4,Test01_City_D05,25.08
5,Test01_City_D06,43.78
6,Test01_City_D07,51.67
7,Test01_City_D08,63.68
8,Test01_City_D09,64.95
9,Test01_Talking_Head_D01,69.37
10,Test01_Talking_Head_D02,31.65
11,Test01_Talking_Head_D03,31.98
12,Test01_Talking_Head_D04,30.87
13,Test01_Talking_Head_D05,35.1
14,Test01_Talking_Head_D06,38.22
15,Test01_Talking_Head_D07,35.99
16,Test01_Talking_Head_D08,53.69
17,Test01_Talking_Head_D09,64.59
18,Test01_Traffic_D01,67.74
19,Test01_Traffic_D02,29.57
20,Test01_Traffic_D03,27.76
21,Test01_Traffic_D04,25.72
22,Test01_Traffic_D05,30.21
23,Test01_Traffic_D06,43.36
24,Test01_Traffic_D07,65.53
25,Test01_Traffic_D08,63.4
26,Test01_Traffic_D09,60.7
27,Test02_City_D01,53.35
28,Test02_City_D02,9.99
29,Test02_City_D03,18.83
30,Test02_City_D04,9.25
31,Test02_City_D05,45.91
32,Test02_City_D06,38.99
33,Test02_City_D07,62.54
34,Test02_City_D08,36.88
35,Test02_City_D09,56.28
36,Test02_City_D10,0.21
37,Test02_Talking_Head_D01,64.68
38,Test02_Talking_Head_D02,22.64
39,Test02_Talking_Head_D03,22.11
40,Test02_Talking_Head_D04,16.69
41,Test02_Talking_Head_D05,46.3
42,Test02_Talking_Head_D06,24.35
43,Test02_Talking_Head_D07,36.58
44,Test02_Talking_Head_D08,35.7
45,Test02_Talking_Head_D09,64.84
46,Test02_Talking_Head_D10,33.8
47,Test02_Traffic_D01,69.62
48,Test02_Traffic_D02,25.39
49,Test02_Traffic_D03,21.78
50,Test02_Traffic_D04,24.69
51,Test02_Traffic_D05,30.89
52,Test02_Traffic_D06,34.66
53,Test02_Traffic_D07,61.43
54,Test02_Traffic_D08,29.35
55,Test02_Traffic_D09,64.3
56,Test02_Traffic_D10,27.35
57,Test03_City_D01,34.75
58,Test03_City_D02,16.48
59,Test03_City_D03,57.62
60,Test03_City_D04,13.96
61,Test03_City_D05,22.47
62,Test03_City_D06,12.85
63,Test03_City_D07,35.74
64,Test03_City_D08,30.01
65,Test03_City_D09,30.86
66,Test03_City_D10,50.12
67,Test03_City_D11,15.47
68,Test03_City_D12,20.65
69,Test03_City_D13,32.65
70,Test03_Newspaper_D01,50.49
71,Test03_Newspaper_D02,36.79
72,Test03_Newspaper_D03,55.89
73,Test03_Newspaper_D04,39.98
74,Test03_Newspaper_D05,40.1
75,Test03_Newspaper_D06,31.2
76,Test03_Newspaper_D07,49.85
77,Test03_Newspaper_D08,47.8
78,Test03_Newspaper_D09,47.22
79,Test03_Newspaper_D10,49.95
80,Test03_Newspaper_D11,46.51
81,Test03_Newspaper_D12,41.32
82,Test03_Newspaper_D13,38.65
83,Test03_Talking_Head_D01,39.03
84,Test03_Talking_Head_D02,36.32
85,Test03_Talking_Head_D03,67.38
86,Test03_Talking_Head_D04,27.86
87,Test03_Talking_Head_D05,36.98
88,Test03_Talking_Head_D06,28.2
89,Test03_Talking_Head_D07,35.29
90,Test03_Talking_Head_D08,46.1
91,Test03_Talking_Head_D09,37.85
92,Test03_Talking_Head_D10,53.33
93,Test03_Talking_Head_D11,38.37
94,Test03_Talking_Head_D12,20.86
95,Test03_Talking_Head_D13,32.72
96,Test04_City_D01,61.85
97,Test04_City_D02,70.56
98,Test04_City_D03,68.6
99,Test04_City_D04,69.0
100,Test04_City_D05,65.86
101,Test04_City_D06,-6.5
102,Test04_City_D07,16.12
103,Test04_City_D08,26.17
104,Test04_City_D09,62.08
105,Test04_City_D10,38.64
106,Test04_City_D11,-1.11
107,Test04_City_D12,35.17
108,Test04_City_D13,52.28
109,Test04_City_D14,42.63
110,Test04_Newspaper_D01,70.38
111,Test04_Newspaper_D02,82.05
112,Test04_Newspaper_D03,81.33
113,Test04_Newspaper_D04,82.52
114,Test04_Newspaper_D05,79.36
115,Test04_Newspaper_D06,5.08
116,Test04_Newspaper_D07,32.42
117,Test04_Newspaper_D08,29.73
118,Test04_Newspaper_D09,87.46
119,Test04_Newspaper_D10,52.99
120,Test04_Newspaper_D11,4.14
121,Test04_Newspaper_D12,37.95
122,Test04_Newspaper_D13,64.41
123,Test04_Newspaper_D14,41.92
124,Test04_Talking_Head_D01,51.43
125,Test04_Talking_Head_D02,83.6
126,Test04_Talking_Head_D03,77.09
127,Test04_Talking_Head_D04,83.73
128,Test04_Talking_Head_D05,93.38
129,Test04_Talking_Head_D06,1.97
130,Test04_Talking_Head_D07,31.15
131,Test04_Talking_Head_D08,38.31
132,Test04_Talking_Head_D09,75.11
133,Test04_Talking_Head_D10,61.18
134,Test04_Talking_Head_D11,4.5
135,Test04_Talking_Head_D12,17.06
136,Test04_Talking_Head_D13,59.4
137,Test04_Talking_Head_D14,52.76
138,Test05_City_D01,26.07
139,Test05_City_D02,76.43
140,Test05_City_D03,68.62
141,Test05_City_D04,63.85
142,Test05_City_D05,42.92
143,Test05_City_D06,75.32
144,Test05_City_D07,66.67
145,Test05_City_D08,63.76
146,Test05_City_D09,79.61
147,Test05_City_D10,65.29
148,Test05_City_D11,73.55
149,Test05_City_D12,64.24
150,Test05_City_D13,62.65
151,Test05_City_D14,64.27
152,Test05_City_D15,71.29
153,Test05_City_D16,76.85
154,Test05_Television_D01,11.45
155,Test05_Television_D02,42.29
156,Test05_Television_D03,63.93
157,Test05_Television_D04,55.0
158,Test05_Television_D05,48.27
159,Test05_Television_D06,33.32
160,Test05_Television_D07,43.05
161,Test05_Television_D08,27.84
162,Test05_Television_D09,33.59
163,Test05_Television_D10,22.5
164,Test05_Television_D11,23.3
165,Test05_Television_D12,35.12
166,Test05_Television_D13,27.91
167,Test05_Television_D14,18.45
168,Test05_Television_D15,36.1
169,Test05_Television_D16,45.88
170,Test05_Talking_Head_D01,46.8
171,Test05_Talking_Head_D02,65.4
172,Test05_Talking_Head_D03,83.25
173,Test05_Talking_Head_D04,80.15
174,Test05_Talking_Head_D05,69.78
175,Test05_Talking_Head_D06,71.0
176,Test05_Talking_Head_D07,73.71
177,Test05_Talking_Head_D08,61.01
178,Test05_Talking_Head_D09,68.07
179,Test05_Talking_Head_D10,60.05
180,Test05_Talking_Head_D11,56.29
181,Test05_Talking_Head_D12,68.36
182,Test05_Talking_Head_D13,61.84
183,Test05_Talking_Head_D14,67.29
184,Test05_Talking_Head_D15,63.92
185,Test05_Talking_Head_D16,72.57
186,Test06_City_D01,17.23
187,Test06_City_D02,72.11
188,Test06_City_D03,71.76
189,Test06_City_D04,67.94
190,Test06_City_D05,61.12
191,Test06_City_D06,55.78
192,Test06_City_D07,58.78
193,Test06_City_D08,72.68
194,Test06_City_D09,-0.85
195,Test06_City_D10,23.58
196,Test06_City_D11,62.03
197,Test06_City_D12,53.03
198,Test06_City_D13,64.28
199,Test06_City_D14,72.46
200,Test06_City_D15,71.95
201,Test06_City_D16,58.33
202,Test06_Television_D01,10.93
203,Test06_Television_D02,28.81
204,Test06_Television_D03,28.29
205,Test06_Television_D04,39.1
206,Test06_Television_D05,27.85
207,Test06_Television_D06,33.68
208,Test06_Television_D07,22.59
